x,x,x,x,o,o,x,o,o,Xwin
x,x,x,o,x,o,x,o,o,Xwin
x,o,x,x,x,o,x,o,o,Xwin
o,x,x,x,x,o,x,o,o,Xwin
x,x,x,o,o,x,x,o,o,Xwin
x,x,o,x,o,x,x,o,o,Xwin
x,x,o,o,x,x,x,o,o,Owin
x,o,x,o,x,x,x,o,o,Xwin
o,x,x,o,x,x,x,o,o,Xwin
x,o,o,x,x,x,x,o,o,Xwin
o,x,o,x,x,x,x,o,o,Xwin
o,o,x,x,x,x,x,o,o,Xwin
x,x,x,x,o,o,o,x,o,Xwin
x,x,x,o,x,o,o,x,o,Xwin
x,o,x,x,x,o,o,x,o,Owin
o,x,x,x,x,o,o,x,o,Xwin
x,x,x,o,o,x,o,x,o,Xwin
x,o,x,x,o,x,o,x,o,Owin
x,x,o,o,x,x,o,x,o,Xwin
x,o,x,o,x,x,o,x,o,Owin
x,o,o,x,x,x,o,x,o,Xwin
o,x,o,x,x,x,o,x,o,Xwin
o,o,x,x,x,x,o,x,o,Xwin
x,o,x,x,o,o,x,x,o,Xwin
x,o,x,o,x,o,x,x,o,Xwin
o,x,x,o,x,o,x,x,o,Xwin
o,o,x,x,x,o,x,x,o,Xwin
x,x,o,o,o,x,x,x,o,Owin
x,o,x,o,o,x,x,x,o,Owin
x,o,o,x,o,x,x,x,o,Xwin
x,o,o,o,x,x,x,x,o,Owin
o,x,o,o,x,x,x,x,o,Xwin
o,o,x,o,x,x,x,x,o,Xwin
x,x,x,x,o,o,o,o,x,Xwin
x,x,x,o,x,o,o,o,x,Xwin
x,x,o,x,x,o,o,o,x,Xwin
x,o,x,x,x,o,o,o,x,Xwin
o,x,x,x,x,o,o,o,x,Owin
x,x,x,o,o,x,o,o,x,Xwin
o,x,x,x,o,x,o,o,x,Xwin
x,x,o,o,x,x,o,o,x,Xwin
x,o,x,o,x,x,o,o,x,Xwin
x,o,o,x,x,x,o,o,x,Xwin
o,x,o,x,x,x,o,o,x,Xwin
o,o,x,x,x,x,o,o,x,Xwin
x,x,o,x,o,o,x,o,x,Xwin
o,x,x,x,o,o,x,o,x,Owin
x,x,o,o,x,o,x,o,x,Xwin
x,o,x,o,x,o,x,o,x,Xwin
o,x,x,o,x,o,x,o,x,Xwin
x,o,o,x,x,o,x,o,x,Xwin
o,x,o,x,x,o,x,o,x,Owin
o,o,x,x,x,o,x,o,x,Xwin
x,x,o,o,o,x,x,o,x,Owin
o,x,x,o,o,x,x,o,x,Xwin
o,x,o,x,o,x,x,o,x,Owin
x,o,o,o,x,x,x,o,x,Xwin
o,x,o,o,x,x,x,o,x,Owin
o,o,x,o,x,x,x,o,x,Xwin
x,o,x,x,o,o,o,x,x,Owin
o,x,x,x,o,o,o,x,x,Owin
x,x,o,o,x,o,o,x,x,Xwin
x,o,x,o,x,o,o,x,x,Xwin
x,o,o,x,x,o,o,x,x,Xwin
o,x,o,x,x,o,o,x,x,Xwin
o,o,x,x,x,o,o,x,x,Owin
x,o,x,o,o,x,o,x,x,Xwin
o,o,x,x,o,x,o,x,x,Xwin
x,o,o,o,x,x,o,x,x,Xwin
x,o,o,x,o,o,x,x,x,Xwin
o,x,o,x,o,o,x,x,x,Xwin
o,o,x,x,o,o,x,x,x,Xwin
x,o,o,o,x,o,x,x,x,Xwin
o,x,o,o,x,o,x,x,x,Xwin
o,o,x,o,x,o,x,x,x,Xwin
x,o,o,o,o,x,x,x,x,Xwin
o,x,o,o,o,x,x,x,x,Xwin
o,o,x,o,o,x,x,x,x,Xwin
